coords,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.845365', '37.44232')",7,11,119,155,709,1158
"('55.862045', '37.431388')",8,16,73,150,536,1009
"('55.84425', '37.447567')",6,8,131,149,753,1150
"('55.85938', '37.423275')",8,12,63,161,503,995
"('55.847887', '37.420302')",10,13,73,183,552,1111
"('55.885625', '37.400836')",3,7,14,81,337,645
"('55.88461', '37.388421')",6,3,15,78,304,622
"('55.8445023', '37.4454836')",6,9,122,155,729,1164
"('55.861686', '37.439104')",6,13,91,142,599,1008
"('55.706715', '37.61577')",9,15,157,347,1598,1694
"('55.706168', '37.578801')",6,6,155,386,1533,1660
"('55.71195', '37.593433')",7,12,161,371,1589,1689
"('55.737345', '37.693624')",8,13,155,300,1455,1588
"('55.743162', '37.675406')",6,29,194,346,1461,1704
"('55.746416', '37.677292')",4,25,186,367,1442,1699
"('55.737005', '37.67334')",16,29,183,324,1475,1705
"('55.756695', '37.679684')",4,7,215,310,1475,1654
"('55.756604', '37.682673')",4,8,204,313,1456,1645
"('55.750957', '37.695259')",9,17,160,314,1432,1567
"('55.737263', '37.67281')",16,27,185,328,1475,1707
"('55.748072', '37.690462')",7,22,163,328,1430,1625
"('55.7658', '37.60274')",23,45,308,438,1535,1986
"('55.776578', '37.634604')",12,31,236,462,1399,1951
"('55.779465', '37.643517')",11,15,220,423,1422,1825
"('55.776806', '37.639887')",10,25,231,457,1382,1930
"('55.77792', '37.63767')",13,25,229,448,1409,1909
"('55.7815827', '37.6418004')",13,15,218,419,1435,1806
"('55.794378', '37.654239')",5,2,182,349,1449,1533
"('55.715317', '37.89868')",1,12,29,77,258,682
"('55.729958', '37.767483')",7,6,121,160,1012,1250
"('55.7307157', '37.7700697')",3,9,117,161,993,1248
"('55.725701', '37.769379')",6,9,124,148,993,1252
"('55.603747', '37.653182')",4,9,54,142,574,1025
"('55.595673', '37.658733')",3,16,42,120,490,946
"('55.593721', '37.651313')",6,4,57,110,504,914
"('55.601996', '37.617986')",5,5,79,115,688,942
"('55.601676', '37.610898')",5,9,69,132,697,946
"('55.604607', '37.658752')",9,5,56,144,572,1025
"('55.605795', '37.621714')",4,2,91,106,727,971
"('55.603419', '37.662498')",10,5,60,127,562,1009
"('55.784552', '37.528756')",11,22,238,442,1438,1648
"('55.772457', '37.4833904')",7,28,152,298,1318,1585
"('55.77634', '37.525109')",11,23,227,464,1410,1732
"('55.77792', '37.538125')",13,19,268,481,1449,1731
"('55.786106', '37.510376')",10,19,236,323,1478,1506
"('55.780876', '37.533544')",13,20,266,440,1467,1677
"('55.775322', '37.534245')",12,17,262,477,1444,1739
"('55.785152', '37.512695')",9,20,235,352,1460,1534
"('55.773034', '37.485026')",7,27,161,297,1332,1578
"('55.81255', '37.465702')",9,8,104,301,1017,1341
"('55.779682', '37.462997')",9,35,90,284,1221,1470
"('55.77432', '37.534757')",10,18,259,486,1442,1745
"('55.777084', '37.53199')",16,16,264,459,1447,1706
"('55.774558', '37.536984')",9,17,266,488,1454,1742
"('55.775852', '37.531693')",13,17,259,465,1439,1730
"('55.786708', '37.523249')",7,31,222,416,1446,1590
"('55.779859', '37.539527')",6,26,263,487,1444,1729
"('55.775307', '37.527238')",11,19,246,463,1417,1738
"('55.774937', '37.473877')",14,27,124,295,1239,1582
"('55.767638', '37.50186')",6,17,193,340,1423,1630
"('55.784767', '37.53457')",7,18,262,440,1461,1656
"('55.769135', '37.494521')",10,11,195,308,1410,1585
"('55.774517', '37.473007')",16,23,128,292,1241,1578
"('55.7772862', '37.5269129')",13,22,241,463,1418,1717
"('55.77515', '37.528648')",9,19,247,466,1426,1730
"('55.778831', '37.530472')",17,17,259,448,1446,1695
"('55.778512', '37.522881')",11,26,218,459,1403,1697
"('55.784622', '37.52318')",8,29,230,417,1437,1615
"('55.785701', '37.524705')",7,28,228,427,1441,1611
"('55.778275', '37.521355')",11,25,220,451,1408,1692
"('55.774274', '37.545932')",6,13,284,474,1506,1730
"('55.739727', '37.618507')",11,16,247,487,1537,1894
"('55.60995', '37.586392')",5,6,66,151,771,1004
"('55.629592', '37.606209')",7,13,69,195,868,1317
"('55.58742', '37.651566')",5,10,44,102,431,874
"('55.611297', '37.582736')",3,8,66,149,779,1031
"('55.607972', '37.606074')",3,6,66,142,768,965
"('55.620197', '37.602634')",3,6,77,171,831,1161
"('55.62863', '37.60469')",6,13,67,195,864,1302
"('55.60576', '37.602528')",3,8,64,140,750,940
"('55.589558', '37.654205')",6,9,44,108,442,896
"('55.628932', '37.593911')",4,9,70,210,844,1343
"('55.603766', '37.582736')",4,11,64,129,745,918
"('55.577531', '37.648132')",4,5,37,83,393,818
"('55.63292', '37.604645')",11,15,71,201,882,1393
"('55.607666', '37.596256')",4,9,63,153,765,961
"('55.577546', '37.650936')",5,4,38,82,388,818
"('55.61995', '37.586068')",3,6,74,178,797,1207
"('55.589849', '37.649813')",7,7,51,102,461,895
"('55.57809', '37.67747')",4,3,34,67,358,781
"('55.627991', '37.595411')",5,11,68,203,852,1315
"('55.620479', '37.596794')",4,7,72,181,817,1193
"('55.626858', '37.61006')",4,9,78,166,879,1239
"('55.799866', '37.716057')",9,14,127,199,1178,1343
"('55.793842', '37.70645')",4,13,151,234,1255,1417
"('55.788778', '37.715228')",3,8,141,214,1269,1345
"('55.79851', '37.726733')",7,10,147,165,1118,1330
"('55.7999917', '37.7223353')",8,18,129,190,1130,1347
"('55.790464', '37.690605')",4,13,132,324,1284,1520
"('55.796425', '37.697549')",3,11,151,254,1287,1423
"('55.7935299', '37.6859761')",5,13,127,332,1300,1507
"('55.79425', '37.69323')",5,7,147,285,1291,1469
"('55.78969', '37.708904')",5,7,146,245,1262,1409
"('55.798541', '37.689186')",1,6,140,283,1304,1442
"('55.816409', '37.733545')",4,20,91,150,877,1367
"('55.800873', '37.716989')",8,16,128,193,1169,1342
"('55.607214', '37.413017')",3,5,31,71,470,790
"('55.593245', '37.425689')",6,0,32,55,505,712
"('55.558518', '37.311656')",2,3,16,8,175,232
"('55.602312', '37.415613')",5,2,33,48,485,756
"('55.614312', '37.385448')",3,0,42,99,372,841
"('55.549786', '37.312999')",4,4,15,16,128,259
"('55.557851', '37.314746')",2,4,15,9,176,241
"('55.589187', '37.44538')",4,6,32,59,546,699
"('55.588323', '37.4576')",5,7,38,62,544,711
"('55.5527279', '37.3387129')",7,0,16,17,190,303
"('55.603446', '37.417616')",5,2,33,56,486,767
"('55.600231', '37.413448')",4,3,31,45,477,739
"('55.568807', '37.287388')",3,0,9,13,158,202
"('55.551777', '37.316355')",4,4,15,14,143,258
"('55.594293', '37.428913')",6,0,32,62,511,723
"('55.5519175', '37.3435318')",3,4,13,23,186,322
"('55.5475991', '37.3249159')",2,8,9,23,135,285
"('55.614724', '37.384954')",3,0,42,100,365,849
"('55.593568', '37.46052')",4,5,30,75,594,708
"('55.566802', '37.478621')",3,14,50,73,371,717
"('55.591549', '37.425117')",5,1,27,61,489,718
"('55.551023', '37.314651')",4,4,15,15,137,257
"('55.549124', '37.313412')",4,3,16,15,124,264
"('55.5525622', '37.3350953')",5,4,12,21,182,301
"('55.56614', '37.34276')",1,0,16,21,238,325
"('55.733624', '37.654448')",8,14,225,360,1515,1785
"('55.7087011', '37.6453376')",7,9,183,288,1560,1704
"('55.733361', '37.657053')",7,21,215,356,1505,1778
"('55.72507', '37.66903')",11,25,174,297,1501,1721
"('55.724353', '37.644432')",3,18,223,333,1575,1770
"('55.672757', '37.494126')",9,14,179,273,1001,1569
"('55.671727', '37.495455')",8,18,180,278,992,1582
"('55.679234', '37.492672')",6,13,199,227,1097,1523
"('55.667493', '37.493156')",5,21,167,270,945,1580
"('55.672844', '37.491431')",6,12,179,262,1006,1548
"('55.687923', '37.534963')",12,12,181,318,1304,1680
"('55.661917', '37.492626')",7,11,160,248,909,1521
"('55.688989', '37.529358')",6,18,183,319,1300,1660
"('55.787923', '37.632224')",11,11,228,399,1478,1763
"('55.77665', '37.624454')",13,25,271,434,1461,1921
"('55.787153', '37.622819')",1,20,242,405,1498,1777
"('55.788596', '37.641486')",6,18,203,377,1479,1668
"('55.77872', '37.640461')",13,18,228,439,1416,1873
"('55.775682', '37.625226')",14,26,272,440,1451,1939
"('55.783494', '37.633859')",11,22,234,413,1455,1817
"('55.783398', '37.635098')",13,18,240,404,1458,1812
"('55.79089', '37.63668')",7,12,200,383,1469,1686
"('55.773525', '37.629897')",17,24,264,471,1397,1985
"('55.777598', '37.6219685')",10,22,275,430,1470,1915
"('55.787853', '37.633194')",12,11,229,394,1485,1750
"('55.774715', '37.625154')",15,24,271,446,1447,1947
"('55.78809', '37.634317')",14,10,223,390,1486,1733
"('55.773933', '37.62679')",15,25,274,447,1437,1957
"('55.78507', '37.639626')",13,14,228,385,1477,1731
"('55.784045', '37.635332')",14,16,240,401,1463,1795
"('55.68324', '37.539482')",9,28,187,314,1261,1718
"('55.679417', '37.546112')",9,22,194,290,1247,1760
"('55.681047', '37.551088')",4,19,189,289,1288,1740
"('55.763067', '37.605831')",17,43,322,425,1564,1978
"('55.76174', '37.608311')",15,32,334,417,1575,1966
"('55.771266', '37.597998')",24,53,297,449,1496,1966
"('55.762637', '37.600504')",18,48,311,441,1562,1970
"('55.7705968', '37.5954692')",20,60,286,462,1489,1969
"('55.764445', '37.59312')",21,43,320,434,1551,1944
"('55.771565', '37.602885')",19,44,303,446,1488,1981
"('55.765069', '37.5912871')",26,36,327,426,1557,1927
"('55.765478', '37.595833')",26,43,312,436,1547,1948
"('55.765063', '37.607053')",16,44,316,429,1541,1984
"('55.768233', '37.619477')",15,25,304,430,1495,1982
"('55.761173', '37.599507')",13,48,307,444,1559,1968
"('55.617856', '37.265711')",6,0,19,32,148,250
"('55.627727', '37.342984')",5,4,71,65,242,726
"('55.626303', '37.310895')",10,3,47,50,161,634
"('55.860746', '37.372431')",2,1,44,70,311,738
"('55.856544', '37.35072')",6,4,27,52,273,635
"('55.8515', '37.363089')",3,11,28,77,320,759
"('55.854042', '37.349937')",8,3,30,47,278,651
"('55.84487', '37.356414')",5,8,27,68,320,777
"('55.7342195', '37.4108729')",9,19,119,92,841,1465
"('55.707783', '37.403152')",4,13,60,151,719,1360
"('55.72271', '37.418354')",9,21,118,132,884,1435
"('55.736786', '37.407005')",8,20,104,96,806,1466
"('55.746978', '37.40698')",5,19,65,142,721,1573
"('55.7246098', '37.4031854')",5,12,107,101,773,1406
"('55.708739', '37.404133')",6,10,67,148,726,1361
"('55.7116087', '37.3956923')",7,13,61,117,707,1314
"('55.712502', '37.403297')",11,11,76,141,725,1397
"('55.719622', '37.418506')",7,16,118,135,868,1446
"('55.7130368', '37.4076638')",7,16,80,147,744,1418
"('55.7187331', '37.4305778')",12,22,136,158,950,1502
"('55.711184', '37.40875')",6,14,75,151,746,1412
"('55.723237', '37.403782')",5,15,104,103,775,1402
"('55.739858', '37.421874')",12,17,116,139,899,1527
"('55.7186535', '37.4004304')",5,22,84,115,736,1387
"('55.688507', '37.518318')",2,13,189,293,1270,1616
"('55.701708', '37.512237')",8,12,146,330,1396,1518
"('55.623158', '37.300817')",6,7,42,47,159,545
"('55.61873', '37.266259')",6,0,20,32,149,256
"('55.620169', '37.263052')",6,0,17,31,147,242
"('55.613941', '37.386813')",3,0,39,102,373,841
"('55.858246', '37.501905')",6,14,133,185,904,1078
"('55.857851', '37.482358')",7,22,122,184,803,1087
"('55.869445', '37.456657')",5,7,97,127,640,937
"('55.848934', '37.48111')",10,13,133,193,856,1167
"('55.867748', '37.47359')",6,17,94,160,684,1029
"('55.855564', '37.47527')",10,12,138,157,806,1077
"('55.86471', '37.475593')",6,23,109,153,732,1034
"('55.868844', '37.465164')",6,13,98,143,666,982
"('55.7422', '37.587236')",17,34,252,439,1684,1726
"('55.771064', '37.729431')",8,11,94,278,1147,1416
"('55.839643', '37.659739')",6,5,90,186,1085,1346
"('55.852257', '37.682129')",6,1,80,137,810,1318
"('55.632413', '37.415694')",4,1,61,114,578,853
"('55.631793', '37.412047')",4,0,61,110,566,832
"('55.619599', '37.417167')",6,1,33,124,483,870
"('55.638938', '37.42721')",2,3,61,129,663,933
"('55.63193', '37.456243')",1,0,55,178,735,969
"('55.612375', '37.470599')",2,0,38,133,712,834
"('55.619544', '37.416251')",6,1,34,121,480,866
"('55.713309', '37.878326')",3,8,26,115,300,793
"('55.719395', '37.72776')",6,10,95,258,1170,1498
"('55.711437', '37.889843')",6,5,33,90,285,719
"('55.717756', '37.891172')",3,13,19,100,276,735
"('55.711458', '37.884174')",6,4,32,101,292,743
"('55.71767', '37.886672')",4,9,23,107,286,758
"('55.786991', '37.579493')",4,37,261,466,1459,1810
"('55.792513', '37.565587')",16,21,259,441,1464,1694
"('55.794993', '37.58376')",4,19,216,435,1514,1673
"('55.796024', '37.572613')",14,23,229,430,1499,1632
"('55.764754', '37.564599')",19,33,337,410,1592,1769
"('55.5526627', '37.3437658')",3,4,13,23,190,320
"('55.6138', '37.471264')",2,0,37,136,723,839
"('55.64169', '37.409801')",4,7,62,108,634,856
"('55.892531', '37.671579')",6,7,46,100,402,1030
"('55.865166', '37.672333')",4,14,95,99,679,1239
"('55.84724', '37.630975')",7,12,100,216,1107,1281
"('55.877167', '37.652481')",6,11,95,131,539,1251
"('55.889386', '37.675532')",6,8,56,94,431,1037
"('55.876758', '37.663395')",1,7,95,116,536,1211
"('55.638917', '37.595043')",8,19,81,229,910,1519
"('55.63595', '37.606606')",11,18,68,211,912,1430
"('55.877087', '37.549624')",5,17,107,170,742,1110
"('55.880631', '37.539347')",10,8,106,167,700,1070
"('55.924845', '37.548546')",2,2,18,56,358,612
"('55.7802395', '37.7269646')",10,12,110,247,1176,1360
"('55.790868', '37.71362')",4,9,138,225,1244,1376
"('55.778854', '37.724167')",9,11,108,258,1202,1360
"('55.771374', '37.73101')",8,13,89,276,1129,1422
"('55.779084', '37.721678')",7,14,114,257,1226,1353
"('55.7770912', '37.7234507')",7,19,107,274,1196,1382
"('55.773383', '37.737021')",8,13,86,275,1072,1417
"('55.772618', '37.735916')",9,10,85,275,1085,1411
"('55.77673', '37.722755')",6,21,106,273,1203,1380
"('55.719414', '37.637657')",6,19,214,322,1604,1754
"('55.734674', '37.408409')",8,17,114,94,817,1465
"('55.715925', '37.407123')",8,21,85,139,750,1433
"('55.71907', '37.3968')",5,16,85,104,714,1381
"('55.71967', '37.41654')",5,22,109,135,849,1443
"('55.713603', '37.40663')",7,16,80,147,738,1422
"('55.7243893', '37.4080044')",6,16,114,103,812,1417
"('55.724167', '37.41173')",5,20,112,116,838,1440
"('55.724996', '37.41546')",6,18,120,117,877,1431
"('55.718826', '37.406586')",6,20,96,123,774,1422
"('55.503757', '37.53541')",6,3,18,48,132,293
"('55.723744', '37.464014')",6,20,149,226,1300,1450
"('55.749714', '37.59428')",27,26,302,446,1634,1842
"('55.803396', '37.527122')",10,35,194,367,1401,1486
"('55.795307', '37.52363')",8,19,217,395,1433,1539
"('55.759277', '37.7389')",2,4,87,249,1185,1339
"('55.804734', '37.785647')",5,21,119,120,638,1216
"('55.766415', '37.740579')",2,12,78,271,1102,1400
"('55.76898', '37.72979')",7,10,93,286,1158,1417
"('55.779099', '37.708167')",6,14,144,262,1314,1418
"('55.79131', '37.659782')",4,11,164,359,1438,1542
"('55.794786', '37.652984')",4,4,184,351,1453,1526
"('55.794161', '37.652784')",4,4,184,354,1455,1534
"('55.785245', '37.682188')",5,16,137,340,1364,1547
"('55.789264', '37.693507')",4,15,137,310,1286,1499
"('55.785746', '37.69286')",4,11,144,302,1326,1494
"('55.794968', '37.653577')",4,3,184,346,1452,1525
"('55.655045', '37.382843')",2,6,69,66,605,782
"('55.642428', '37.416476')",4,6,57,121,651,899
"('55.655899', '37.401123')",4,11,56,95,675,881
"('55.65658', '37.404788')",5,10,51,96,695,901
"('55.645335', '37.416389')",4,6,55,121,661,928
"('55.64898', '37.41053')",3,13,49,117,667,905
"('55.64284', '37.409816')",5,6,63,105,646,862
"('55.64905', '37.402866')",3,19,51,108,648,875
"('55.655585', '37.490802')",7,12,151,222,899,1441
"('55.648138', '37.414679')",3,12,47,123,676,926
"('55.760434', '37.715767')",4,13,117,294,1316,1454
"('55.766734', '37.727427')",5,8,99,276,1206,1409
"('55.86695', '37.659245')",5,15,112,108,668,1319
"('55.77224', '37.731136')",8,14,89,280,1119,1428
"('55.822412', '37.432043')",8,4,93,192,770,1246
"('55.8366204', '37.4572201')",2,6,120,208,776,1279
"('55.822244', '37.435869')",6,5,89,208,778,1266
"('55.825401', '37.455238')",2,5,99,273,825,1324
"('55.81883', '37.428996')",6,5,81,193,785,1222
"('55.836721', '37.461625')",4,4,121,209,809,1282
"('55.823778', '37.452749')",2,5,90,273,823,1324
"('55.840218', '37.463215')",5,3,125,195,809,1244
"('55.75396', '37.620393')",1,9,319,459,1536,1960
"('55.821779', '37.43757')",6,6,88,217,789,1272
"('55.829866', '37.412379')",4,4,85,127,650,1158
"('55.827722', '37.42598')",1,10,94,159,728,1213
"('55.82848', '37.448044')",1,4,100,237,768,1313
"('55.815417', '37.426119')",4,6,78,167,804,1191
"('55.821077', '37.430462')",8,4,90,188,776,1239
"('55.820729', '37.423922')",3,12,77,170,751,1216
"('55.818139', '37.431594')",5,6,80,202,805,1223
"('55.821917', '37.438614')",5,6,87,223,793,1272
"('55.825444', '37.412013')",4,4,79,120,672,1172
"('55.825683', '37.413192')",4,4,82,124,679,1171
"('55.814746', '37.424309')",2,9,74,162,795,1189
"('55.809024', '37.475441')",2,12,141,278,1152,1313
"('55.770294', '37.636974')",7,34,239,486,1375,2009
"('55.7628702', '37.6436995')",16,26,226,494,1383,1985
"('55.76709', '37.639545')",8,34,228,492,1389,2007
"('55.763234', '37.64295')",16,23,233,493,1386,1988
"('55.767539', '37.627885')",10,27,280,462,1452,1996
"('55.76697', '37.624886')",11,28,287,465,1458,2012
"('55.7675455', '37.6251245')",11,29,281,462,1456,2007
"('55.729975', '37.76106')",4,7,109,189,1029,1300
"('55.7291994', '37.7627259')",6,8,119,171,1027,1285
"('55.724789', '37.744738')",9,16,101,231,1074,1419
"('55.724723', '37.743067')",12,13,101,232,1085,1425
"('55.816508', '37.466976')",8,5,109,301,1005,1318
"('55.8135405', '37.4701125')",6,11,114,306,1037,1352
"('55.812934', '37.469296')",6,12,111,306,1040,1351
"('55.819949', '37.465892')",4,8,108,301,951,1336
"('55.805083', '37.421425')",6,7,65,167,852,1167
"('55.801617', '37.406155')",6,13,40,138,773,1117
"('55.795388', '37.405157')",2,9,33,143,774,1148
"('55.80963', '37.414276')",4,15,51,157,770,1154
"('55.78426', '37.475513')",16,26,141,274,1306,1474
"('55.805832', '37.414383')",9,8,56,153,802,1143
"('55.799446', '37.39214')",3,7,32,104,739,1014
"('55.81784', '37.397907')",5,5,59,107,639,1109
"('55.815662', '37.400227')",7,6,55,110,658,1120
"('55.797386', '37.3934201')",2,6,33,106,742,1028
"('55.813612', '37.406019')",4,10,53,127,695,1150
"('55.802185', '37.40648')",6,16,40,139,772,1115
"('55.809762', '37.392302')",4,11,40,102,668,1058
"('55.746922', '37.556864')",13,22,263,391,1731,1582
"('55.772518', '37.6207122')",14,33,265,459,1440,1985
"('55.772902', '37.628586')",17,24,270,459,1417,1974
"('55.769251', '37.628451')",14,24,272,463,1443,1994
"('55.771418', '37.629358')",17,22,268,471,1411,1992
"('55.774527', '37.622962')",14,26,266,454,1448,1954
"('55.83956', '37.46449')",4,2,127,196,819,1248
"('55.854267', '37.42968')",6,20,73,172,575,1072
"('55.864015', '37.431873')",5,17,71,145,535,970
"('55.843389', '37.431962')",3,14,86,185,621,1222
"('55.8530817', '37.4424994')",4,13,102,157,667,1113
"('55.865696', '37.444107')",4,10,95,129,606,969
"('55.85105', '37.434514')",4,21,80,177,609,1145
"('55.863379', '37.430714')",6,17,71,148,525,984
"('55.850555', '37.415263')",8,13,70,145,545,1034
"('55.846962', '37.426267')",7,11,78,189,584,1151
"('55.860382', '37.417896')",6,12,59,141,488,938
"('55.84447', '37.44994')",6,8,134,153,761,1146
"('55.630589', '37.484128')",5,7,76,168,804,1075
"('55.622395', '37.48818')",5,7,58,150,799,991
"('55.61875', '37.491143')",6,5,56,139,796,945
"('55.627361', '37.478628')",2,10,57,183,774,1012
"('55.619594', '37.499031')",4,8,65,122,831,972
"('55.619147', '37.497872')",6,6,63,122,828,960
"('55.630162', '37.521551')",6,9,91,199,823,1274
"('55.623265', '37.489976')",4,9,63,148,808,1013
"('55.624466', '37.489524')",4,9,63,151,806,1024
"('55.619802', '37.497764')",5,7,68,121,831,966
"('55.613636', '37.493004')",3,4,43,139,768,912
"('55.633617', '37.483095')",5,4,90,163,802,1116
"('55.762839', '37.606586')",18,42,322,426,1561,1980
"('55.714054', '37.730104')",7,10,98,249,1106,1547
"('55.711823', '37.733949')",6,8,105,244,1065,1530
"('55.715576', '37.730697')",9,7,107,245,1117,1524
"('55.714125', '37.733132')",7,11,102,243,1095,1507
"('55.81551', '37.584118')",6,12,125,356,1479,1412
"('55.847861', '37.650055')",3,12,96,185,1025,1328
"('55.799502', '37.611437')",6,11,212,373,1559,1589
"('55.757996', '37.542652')",9,20,242,451,1590,1671
"('55.7522727', '37.5266276')",8,21,193,438,1572,1616
"('55.760996', '37.513628')",18,16,206,388,1496,1644
"('55.759886', '37.519027')",12,24,203,437,1489,1666
"('55.75133', '37.526896')",9,19,188,445,1572,1618
"('55.755302', '37.52503')",9,25,203,450,1545,1640
"('55.758156', '37.519592')",12,28,194,438,1506,1651
"('55.766754', '37.566395')",24,24,341,419,1569,1791
"('55.763416', '37.547028')",6,21,281,440,1576,1707
"('55.760082', '37.53666')",5,16,235,468,1549,1682
"('55.757409', '37.542186')",9,21,235,451,1594,1662
"('55.760494', '37.518551')",12,22,204,435,1482,1670
"('55.764059', '37.512914')",12,21,193,403,1451,1680
"('55.758073', '37.547144')",10,19,278,420,1633,1644
"('55.823924', '37.56847')",6,8,115,321,1425,1305
"('55.81563', '37.585133')",6,14,126,348,1492,1397
"('55.821441', '37.582763')",5,14,103,335,1443,1348
"('55.81821', '37.587964')",9,9,120,342,1485,1355
"('55.824106', '37.570357')",6,9,111,325,1426,1313
"('55.824299', '37.566252')",6,5,122,316,1420,1296
"('55.82562', '37.577267')",5,11,91,333,1412,1311
"('55.73943', '37.638313')",5,23,230,466,1458,1932
"('55.736959', '37.61556')",10,14,236,492,1547,1878
"('55.86425', '37.429108')",7,13,72,145,516,964
"('55.854047', '37.420491')",7,18,56,171,525,1050
"('55.83845', '37.388511')",4,3,67,94,508,943
"('55.861489', '37.417544')",6,11,61,135,487,925
"('55.845688', '37.42669')",7,11,81,186,590,1178
"('55.82496', '37.412477')",3,5,80,117,681,1171
"('55.840791', '37.379043')",5,8,53,102,431,902
"('55.65069', '37.468346')",4,11,92,213,824,1259
"('55.65161', '37.482018')",4,19,122,221,868,1318
"('55.65055', '37.489014')",5,20,144,200,895,1315
"('55.655447', '37.487829')",7,15,143,229,879,1430
"('55.63194', '37.48322')",5,4,82,168,803,1091
"('55.632586', '37.476752')",6,2,77,174,795,1058
"('55.644145', '37.473492')",6,9,83,201,813,1172
"('55.656428', '37.481576')",4,26,121,248,858,1418
"('55.647163', '37.468192')",3,10,81,210,802,1202
"('55.645893', '37.477022')",5,12,96,198,838,1201
"('55.632753', '37.474004')",4,4,69,189,781,1048
"('55.64541', '37.481873')",7,14,111,190,851,1215
"('55.64664', '37.47969')",6,13,111,190,851,1224
"('55.645131', '37.487892')",7,13,137,179,865,1235
"('55.654041', '37.489931')",5,13,146,217,900,1406
"('55.713654', '37.607655')",7,25,172,356,1603,1726
"('55.7660893', '37.6114805')",14,36,324,422,1530,1983
"('55.844395', '37.449093')",6,7,133,154,756,1150
"('55.7212377', '37.6943255')",9,0,157,284,1335,1672
"('55.71947', '37.694398')",9,0,153,289,1326,1673
"('55.770622', '37.560394')",9,33,315,431,1573,1746
"('55.764236', '37.54028')",3,11,260,477,1525,1716
"('55.770306', '37.56461')",18,23,330,423,1569,1775
"('55.757584', '37.555653')",10,28,313,383,1697,1617
"('55.770573', '37.562954')",12,29,315,437,1564,1774
"('55.820855', '37.632772')",5,15,106,255,1426,1250
"('55.822544', '37.629135')",6,10,120,231,1450,1220
"('55.797701', '37.610754')",5,11,227,366,1572,1597
"('55.601284', '37.586166')",6,9,65,122,736,906
"('55.608709', '37.590012')",5,7,69,145,780,965
"('55.544494', '37.545527')",4,12,50,91,250,651
"('55.535061', '37.5418826')",2,2,58,71,233,521
"('55.547056', '37.545968')",6,10,57,83,276,665
"('55.549261', '37.545402')",5,11,58,78,289,681
"('55.709491', '37.9426752')",5,10,27,29,154,431
"('55.708455', '37.925838')",5,10,42,26,208,487
"('55.830407', '37.580104')",2,8,71,342,1363,1256
"('55.851677', '37.633286')",6,22,99,212,1008,1300
"('55.87275', '37.712568')",4,8,30,81,517,1033
"('55.566445', '37.568129')",5,13,42,94,397,780
"('55.565493', '37.56777')",5,13,42,94,391,775
"('55.565646', '37.564123')",3,10,43,104,378,790
"('55.546287', '37.555598')",9,10,48,85,270,652
"('55.552408', '37.552157')",5,11,50,87,298,713
"('55.561232', '37.586176')",3,10,45,71,392,711
"('55.684654', '37.531586')",12,19,191,318,1250,1690
"('55.684777', '37.524597')",8,18,188,319,1209,1685
"('55.685806', '37.8624')",4,6,17,84,381,696
"('55.72161', '37.8988')",5,4,31,73,263,685
"('55.86932', '37.500324')",5,12,123,157,789,1005
"('55.717424', '37.496474')",5,16,166,246,1489,1374
"('55.73407', '37.490883')",6,10,144,293,1478,1423
"('55.618878', '37.4144')",6,1,35,119,471,866
"('55.7573443', '37.5119741')",17,21,186,384,1498,1630
"('55.753686', '37.513143')",12,27,165,399,1503,1624
"('55.7553539', '37.5108763')",13,29,160,389,1495,1629
"('55.747288', '37.514957')",6,19,158,385,1549,1566
"('55.764121', '37.513071')",12,21,193,403,1451,1682
"('55.763697', '37.509925')",12,25,185,385,1451,1668
"('55.7561254', '37.5136497')",15,30,176,398,1507,1629
"('55.766567', '37.48703')",5,16,169,307,1345,1602
"('55.825189', '37.564284')",6,4,122,308,1423,1274
"('55.731627', '37.581227')",5,18,211,412,1703,1624
"('55.87241', '37.484568')",4,10,99,163,683,989
"('55.865013', '37.474264')",7,21,109,149,723,1032
"('55.8675884', '37.4829033')",4,14,106,164,731,1018
"('55.872577', '37.488422')",3,13,101,171,683,1003
"('55.860827', '37.469728')",8,17,122,143,756,1035
"('55.778282', '37.517597')",6,25,223,425,1410,1674
"('55.780279', '37.516602')",8,22,237,400,1426,1629
"('55.775682', '37.538539')",12,15,274,478,1471,1732
"('55.77996', '37.526744')",13,23,240,452,1428,1687
"('55.780168', '37.531307')",13,21,250,452,1455,1684
"('55.76817', '37.502879')",5,19,195,354,1418,1632
"('55.762136', '37.511105')",14,23,194,377,1487,1644
"('55.763941', '37.509791')",12,23,186,384,1448,1673
"('55.761421', '37.512865')",17,17,207,374,1505,1630
"('55.77633', '37.630726')",12,35,252,453,1420,1947
"('55.777454', '37.616173')",7,27,264,452,1448,1952
"('55.797413', '37.52334')",9,25,217,389,1415,1520
"('55.778026', '37.540147')",7,24,267,487,1451,1739
"('55.801632', '37.767635')",6,18,128,155,765,1305
"('55.805252', '37.773126')",6,16,125,135,710,1260
"('55.623778', '37.590865')",3,10,69,196,824,1269
"('55.644596', '37.602077')",13,20,92,220,990,1522
"('55.63721', '37.606773')",11,21,67,216,916,1455
"('55.76526', '37.607567')",16,39,321,424,1540,1983
"('55.769733', '37.604034')",15,52,295,452,1488,1997
"('55.776112', '37.692765')",9,16,161,280,1420,1502
"('55.745544', '37.75461')",3,5,85,226,1076,1311
