author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price
Ольга Титова,realtor,https://www.cian.ru/rent/flat/307724247/,5,17,1,38.0,Крылатское,Осенний бульвар,15,58000
EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307708676/,22,22,1,40.0,Кунцево,Рублевское шоссе,18К3,65000
ID 23889099,unknown,https://www.cian.ru/rent/flat/307693804/,10,12,1,35.0,Кунцево, Академика Павлова,44,55000
Игорь Левин,realtor,https://www.cian.ru/rent/flat/307651203/,30,33,1,36.0,Кунцево, Академика Павлова,56к1,85000
ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307632856/,7,22,1,40.0,Крылатское,Осенняя ,14,72000
ID 16085679,realtor,https://www.cian.ru/rent/flat/307630472/,14,17,1,37.8,Крылатское,Осенний бульвар,10К2,70000
ID 81826111,unknown,https://www.cian.ru/rent/flat/307628184/,11,17,1,39.0,Крылатское,Осенний бульвар,20К2,68000
Макромир,real_estate_agent,https://www.cian.ru/rent/flat/307624845/,14,17,1,40.0,Крылатское,Осенний бульвар,6,65000
ID 72243444,homeowner,https://www.cian.ru/rent/flat/307611362/,15,17,1,38.0,Крылатское,Осенний бульвар,15,85000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307585587/,22,22,1,38.0,Кунцево,Рублевское шоссе,18К3,65000
ID 68286046,realtor,https://www.cian.ru/rent/flat/307549465/,15,33,1,40.0,Кунцево, Академика Павлова,56к1,115000
АЖС-недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307537301/,10,17,1,38.0,Крылатское, Крылатские Холмы,36К3,65000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307536892/,7,22,1,40.0,Крылатское,Осенняя ,14,72000
ID 234792,real_estate_agent,https://www.cian.ru/rent/flat/307532353/,7,22,1,40.0,Крылатское,Осенняя ,16,70000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/307459275/,7,17,1,38.0,Крылатское,Крылатская ,31К2,70000
ID 12589892,homeowner,https://www.cian.ru/rent/flat/307437746/,16,17,1,37.9,Крылатское,Осенний бульвар,8К1,76000
ID 81826111,unknown,https://www.cian.ru/rent/flat/307320181/,12,17,1,39.0,Крылатское,Осенний бульвар,18К2,75000
Петр Воробьев,realtor,https://www.cian.ru/rent/flat/307251728/,8,17,1,38.0,Крылатское,Крылатская ,29К2,70000
Владис,real_estate_agent,https://www.cian.ru/rent/flat/307151927/,7,26,1,49.0,Кунцево,Ярцевская ,24К2,120000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307045342/,7,17,1,37.0,Крылатское,Крылатская ,31К2,60000
ID 96114843,homeowner,https://www.cian.ru/rent/flat/307042424/,7,17,1,37.8,Крылатское,Крылатская ,31К2,70000
Татьяна Карпова,realtor,https://www.cian.ru/rent/flat/303440940/,11,33,1,36.5,Кунцево, Академика Павлова,56к1,75000
ID 99349,unknown,https://www.cian.ru/rent/flat/292524331/,12,17,1,38.0,Крылатское,Рублевское шоссе,40К1,60000
ID 24330,realtor,https://www.cian.ru/rent/flat/277948315/,6,14,1,38.0,Кунцево,Рублевское шоссе,26К1,60000
ID 309085,realtor,https://www.cian.ru/rent/flat/275766035/,21,22,1,40.0,Крылатское,Осенняя ,16,55000
ID 79259876,homeowner,https://www.cian.ru/rent/flat/267456291/,10,24,1,58.0,Крылатское,Рублевское шоссе,70к6,85000
Алексей Князев,realtor,https://www.cian.ru/rent/flat/231237521/,2,9,1,38.0,Кунцево, Академика Павлова,11К2,45000
ID 6068,realtor,https://www.cian.ru/rent/flat/299739719/,22,22,1,39.0,Строгино,Таллинская ,30,50000
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307494461/,5,5,1,33.0,Фили-Давыдково, Алексея Свиридова,3,50000
ID 13647888,realtor,https://www.cian.ru/rent/flat/307057804/,3,4,1,35.0,Кунцево,Ярцевская ,7,55000
ФОКУС,official_representative,https://www.cian.ru/rent/flat/307531852/,8,12,1,34.9,Можайский, Красных Зорь,51,50000
ID 89084422,real_estate_agent,https://www.cian.ru/rent/flat/290313833/,11,12,1,40.0,Строгино,Таллинская ,9К4,60000
ID 98748602,homeowner,https://www.cian.ru/rent/flat/307454328/,10,22,2,57.9,Можайский,Беловежская ,39К6,65000
Сергей Стахов,realtor,https://www.cian.ru/rent/flat/247348818/,9,14,2,65.0,Фили-Давыдково,Кастанаевская ,63К2,60000
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307633367/,11,19,2,65.0,Фили-Давыдково,Малая Филевская ,22,78000
ID 72244063,unknown,https://www.cian.ru/rent/flat/307550272/,16,17,2,58.0,Крылатское,Осенний бульвар,5К1,80000
ID 11021399,realtor,https://www.cian.ru/rent/flat/307391375/,3,5,2,43.6,Фили-Давыдково,Большая Филевская ,41К4,60000
Вячеслав Гордеев,realtor,https://www.cian.ru/rent/flat/307472540/,6,17,1,38.0,Хорошево-Мневники, Народного Ополчения,7К3,50000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307456796/,15,33,2,50.5,Кунцево, Академика Павлова,38к1,100000
Сергей Дудин,realtor,https://www.cian.ru/rent/flat/307523831/,3,9,1,33.0,Строгино, Исаковского,22К1,48000
ID 49132532,unknown,https://www.cian.ru/rent/flat/298504830/,2,5,1,25.0,Кунцево,Ярцевская ,13,56000
Арбат,real_estate_agent,https://www.cian.ru/rent/flat/307564311/,9,17,2,56.0,Крылатское,Осенний бульвар,3,75000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307615447/,6,12,1,40.0,Кунцево,Полоцкая ,14,60000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307704866/,13,28,2,60.0,Кунцево, Академика Павлова,28,140000
ID 68286046,realtor,https://www.cian.ru/rent/flat/307684878/,20,33,2,58.3,Кунцево, Академика Павлова,56к1,160000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307683102/,3,15,2,60.0,Кунцево, Академика Павлова,56к1,104600
ID 12815580,unknown,https://www.cian.ru/rent/flat/307659278/,2,17,2,55.0,Крылатское,Осенний бульвар,16К2,75000
Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307651935/,13,28,2,60.0,Кунцево, Академика Павлова,28,140000
WestHills,real_estate_agent,https://www.cian.ru/rent/flat/307651265/,8,19,2,51.0,Кунцево,Рублевское шоссе,101,120000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307649426/,6,33,2,50.0,Кунцево, Академика Павлова,38к1,110000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606931/,6,33,2,50.0,Кунцево, Академика Павлова,38к1,110000
ID 8125,realtor,https://www.cian.ru/rent/flat/307476686/,7,17,2,60.0,Кунцево,Партизанская ,36,130000
ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307448520/,9,25,2,70.0,Кунцево,Ярцевская ,24К1,110000
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307441905/,3,40,2,80.0,Кунцево,Рублевское шоссе,107,125000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307436359/,3,40,2,80.0,Кунцево,Рублевское шоссе,107,125000
Марина Климова,realtor,https://www.cian.ru/rent/flat/307418663/,20,34,2,94.0,Крылатское, Крылатские Холмы,37,120000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307361947/,9,25,2,70.0,Кунцево,Ярцевская ,24К1,110000
СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307360210/,9,25,2,70.0,Кунцево,Ярцевская ,24К1,110000
ID 15779776,realtor,https://www.cian.ru/rent/flat/307114773/,1,4,2,42.0,Кунцево, Новорублевская,6,55000
Екатерина Глазкова,realtor,https://www.cian.ru/rent/flat/307110936/,10,17,2,53.0,Крылатское,Рублевское шоссе,50,100000
ID 60233868,homeowner,https://www.cian.ru/rent/flat/306954360/,6,33,2,50.0,Кунцево, Академика Павлова,38к1,110000
Марина Ерлина,realtor,https://www.cian.ru/rent/flat/306951981/,13,22,2,56.0,Крылатское, Крылатские Холмы,30К8,100000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306770308/,4,30,2,51.0,Кунцево,Ярцевская ,32,120000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306749090/,6,22,2,60.0,Крылатское,Осенняя ,16,80000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306635276/,2,24,2,100.0,Крылатское,Рублевское шоссе,70к7,150000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306271883/,6,30,2,50.0,Кунцево,Ярцевская ,32,120000
ID 150681,realtor,https://www.cian.ru/rent/flat/306214089/,6,30,2,46.3,Кунцево,Ярцевская ,32,120000
ID 12604478,realtor,https://www.cian.ru/rent/flat/307780172/,19,21,3,120.0,Кунцево, Академика Павлова,24,270000
ID 109678686,homeowner,https://www.cian.ru/rent/flat/307739054/,9,33,3,78.0,Кунцево, Академика Павлова,56к1,120000
ID 86320269,unknown,https://www.cian.ru/rent/flat/307729199/,3,17,3,75.0,Крылатское, Крылатские Холмы,39К2,110000
Vertex,real_estate_agent,https://www.cian.ru/rent/flat/307716983/,6,17,3,80.0,Крылатское,Рублевское шоссе,40К3,100000
Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307707940/,13,28,3,61.0,Кунцево, Академика Павлова,28,140000
My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307703009/,19,23,3,100.0,Крылатское,Рублевское шоссе,70к6,150000
Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307700894/,16,17,3,77.0,Крылатское,Рублевское шоссе,32,120000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307696180/,13,28,3,50.0,Кунцево, Академика Павлова,28,140000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307675356/,13,28,3,60.0,Кунцево, Академика Павлова,28,140000
Михаил Меликов,realtor,https://www.cian.ru/rent/flat/307657490/,3,34,3,109.0,Крылатское, Крылатские Холмы,37,150000
ID 67938053,realtor,https://www.cian.ru/rent/flat/307634899/,14,17,3,75.0,Крылатское, Крылатские Холмы,39К2,95000
Вячеслав Исламов,realtor,https://www.cian.ru/rent/flat/307625437/,4,14,3,75.0,Кунцево, Академика Павлова,27К4,95000
Наталья Порфенцева,realtor,https://www.cian.ru/rent/flat/307609827/,2,5,3,57.0,Кунцево,Оршанская ,8К4,75000
ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307606597/,17,17,3,76.0,Крылатское,Осенний бульвар,20К2,95000
ID 122036862,homeowner,https://www.cian.ru/rent/flat/307603116/,16,17,3,77.0,Крылатское,Рублевское шоссе,32,120000
ID 179398,realtor,https://www.cian.ru/rent/flat/307598906/,15,40,3,110.0,Кунцево,Рублевское шоссе,107,200000
Раксана Андамова,realtor,https://www.cian.ru/rent/flat/307593254/,19,21,3,88.0,Кунцево,Рублевское шоссе,101,270000
ID 562,realtor,https://www.cian.ru/rent/flat/307590159/,21,22,3,82.0,Крылатское,Осенняя ,16,110000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307569587/,17,17,3,80.0,Крылатское,Осенний бульвар,20К2,95000
Unique Property,real_estate_agent,https://www.cian.ru/rent/flat/307562844/,17,17,3,75.0,Крылатское,Осенний бульвар,20К2,95000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307531191/,16,17,3,77.0,Крылатское,Рублевское шоссе,32,120000
Центральный Департамент Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307508521/,2,17,3,78.0,Крылатское, Крылатские Холмы,30К4,110000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307498912/,16,17,3,77.0,Крылатское,Рублевское шоссе,32,120000
Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307416823/,16,17,3,72.0,Крылатское, Крылатские Холмы,35К1,151500
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307389918/,6,17,3,80.0,Крылатское,Рублевское шоссе,40К3,100000
WestHills,real_estate_agent,https://www.cian.ru/rent/flat/307388653/,3,6,3,90.0,Кунцево,Рублевское шоссе,101,250000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307384359/,6,15,3,79.0,Крылатское,Рублевское шоссе,40К3,100000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307377831/,6,17,3,80.0,Крылатское,Рублевское шоссе,40К3,100000
ID 21674,realtor,https://www.cian.ru/rent/flat/307363847/,10,35,3,165.0,Крылатское, Крылатские Холмы,33к1,200000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307128727/,12,33,3,90.0,Кунцево, Академика Павлова,56к1,235000
ID 12861878,homeowner,https://www.cian.ru/rent/flat/307041714/,12,33,3,88.0,Кунцево, Академика Павлова,56к1,235000
ЦДВ Инвест,real_estate_agent,https://www.cian.ru/rent/flat/306922151/,7,17,3,75.0,Крылатское,Осенний бульвар,16К2,90000
Триумф недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/306903560/,12,17,3,130.0,Крылатское,Рублевское шоссе,70к6,85000
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306839090/,3,5,3,170.0,Крылатское,Осенняя ,25К1,350000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306448485/,24,26,3,98.0,Кунцево,Ярцевская ,24К2,170000
ID 59348977,realtor,https://www.cian.ru/rent/flat/306368065/,4,21,3,78.5,Кунцево, Академика Павлова,24,140000
BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/306148328/,7,14,3,120.0,Крылатское, Крылатские Холмы,47,464310
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/304941948/,2,22,3,80.0,Крылатское, Крылатские Холмы,30К8,95000
SHESHIN HOUSE,real_estate_agent,https://www.cian.ru/rent/flat/303005305/,20,22,3,100.0,Кунцево,Ярцевская ,34К2,240000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/302699446/,3,4,3,76.0,Кунцево, Маршала Тимошенко,10,110000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/299782402/,7,11,3,120.0,Крылатское, Крылатские Холмы,47,464000
Ностальгия,real_estate_agent,https://www.cian.ru/rent/flat/289538661/,9,14,3,123.6,Кунцево,Ярцевская ,27к9,150000
СОГЛАСИЕ,real_estate_agent,https://www.cian.ru/rent/flat/288377160/,2,22,3,80.0,Крылатское, Крылатские Холмы,30К8,90000
АКРУС-сити,real_estate_agent,https://www.cian.ru/rent/flat/284247748/,13,16,3,86.0,Кунцево,Партизанская ,36,80000
Мозаик Групп,real_estate_agent,https://www.cian.ru/rent/flat/284119334/,7,14,3,120.0,Крылатское, Крылатские Холмы,47,430000
100 Квартир,real_estate_agent,https://www.cian.ru/rent/flat/307749793/,19,22,1,45.0,Котловка, Дмитрия Ульянова,47,80000
Светлана Еремина,realtor,https://www.cian.ru/rent/flat/307574098/,3,15,1,41.0,Котловка,Нагорная ,21К1,65000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307362295/,2,18,1,43.9,Академический,Новочеремушкинская ,17,99900
ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307254483/,3,5,1,36.0,Академический, Винокурова,12К1,55000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307244137/,5,5,1,33.0,Котловка, Ремизова,3к1,50000
Realtme,real_estate_agent,https://www.cian.ru/rent/flat/307133071/,6,11,1,35.0,Донской,Духовской переулок,19,90000
ID 610871,homeowner,https://www.cian.ru/rent/flat/306653483/,14,24,1,38.8,Котловка, Дмитрия Ульянова,43К3,79500
Александр Иванов,realtor,https://www.cian.ru/rent/flat/290491372/,19,19,1,38.0,Академический, Дмитрия Ульянова,27к1,85000
ID 79857974,homeowner,https://www.cian.ru/rent/flat/284814483/,8,11,1,31.0,Донской,Духовской переулок,19с2,120000
Оксана Беликова,realtor,https://www.cian.ru/rent/flat/201935160/,3,5,1,32.0,Академический, Шверника,18К1,55000
Елизавета Холодионова,realtor,https://www.cian.ru/rent/flat/307735815/,34,42,2,42.5,Котловка,Севастопольский проспект,22А,110000
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307704546/,7,42,2,50.0,Котловка,Севастопольский проспект,22А,160000
Оксана Жванко,realtor,https://www.cian.ru/rent/flat/307631607/,1,12,2,45.0,Котловка,Нагорная ,25К1,75000
Марина Храпова,realtor,https://www.cian.ru/rent/flat/307606875/,3,5,2,45.0,Котловка,Севастопольский проспект,31К1,60000
EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307484738/,8,19,2,45.8,Котловка,Севастопольский проспект,22,50000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307435043/,5,22,2,58.0,Котловка, Дмитрия Ульянова,47,110000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307429164/,5,22,2,60.0,Котловка, Дмитрия Ульянова,47,110000
Станислав Кучиев,realtor,https://www.cian.ru/rent/flat/307418253/,3,3,2,60.0,Донской,Духовской переулок,17С11,185000
Ирина Петрова,realtor,https://www.cian.ru/rent/flat/307094952/,12,14,2,38.3,Академический, Дмитрия Ульянова,37К4,65000
Наталья Каретова,realtor,https://www.cian.ru/rent/flat/306948577/,18,42,2,47.4,Котловка,Севастопольский проспект,22А,140000
Александр Филатов,realtor,https://www.cian.ru/rent/flat/306854301/,1,5,2,45.0,Котловка,Севастопольский проспект,19К1,80000
ФИРМА АВРОРА,real_estate_agent,https://www.cian.ru/rent/flat/306798712/,11,14,2,84.0,Академический, Дмитрия Ульянова,36,100000
ID 57860314,homeowner,https://www.cian.ru/rent/flat/305955581/,15,25,2,116.5,Академический, Дмитрия Ульянова,31,259000
100 Квартир,real_estate_agent,https://www.cian.ru/rent/flat/304976455/,19,22,2,59.9,Котловка, Дмитрия Ульянова,47,93000
Парус,real_estate_agent,https://www.cian.ru/rent/flat/304747022/,8,12,2,40.0,Академический,Большая Черемушкинская ,10К1,123000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/304381121/,3,5,2,57.0,Котловка,Нагорная ,27К1,80000
Михаил Волков,realtor,https://www.cian.ru/rent/flat/304351219/,2,17,2,51.0,Академический,Большая Черемушкинская ,26К4,65000
ID 13290111,unknown,https://www.cian.ru/rent/flat/304142250/,3,3,2,42.0,Донской,Духовской переулок,17С11,105000
ID 48720388,realtor,https://www.cian.ru/rent/flat/300840962/,1,5,2,49.0,Академический, Винокурова,12К1,65000
ID 69655281,realtor,https://www.cian.ru/rent/flat/299676042/,4,5,2,45.0,Академический, Винокурова,15К1,80000
На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/307430530/,2,16,3,65.0,Донской,Загородное шоссе,3К3,90000
ID 161465,unknown,https://www.cian.ru/rent/flat/307064925/,1,5,3,76.0,Котловка,Нагорная ,24К10,100000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306357515/,3,5,3,54.0,Котловка,Нагорная ,24К6,60000
ID 11593464,realtor,https://www.cian.ru/rent/flat/304972016/,9,17,2,60.0,Академический,проспект 60-летия Октября,19,82000
Евгения Гаркуша,realtor,https://www.cian.ru/rent/flat/270275469/,2,4,1,18.0,Тверской,Страстной бульвар,12С1,78000
МОЦАР,official_representative,https://www.cian.ru/rent/flat/307140072/,3,4,2,90.0,Тверской, Петровка,19С5,240000
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/302898994/,5,5,3,80.0,Тверской,1-й Колобовский переулок,10С1,200000
ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/301532610/,2,4,2,75.0,Замоскворечье,Озерковский переулок,7С1,150000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306988249/,1,4,3,53.0,Пресненский,Малый Козихинский переулок,8/18,150000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307099361/,7,10,1,40.0,Басманный, Покровка,37,120000
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307498813/,4,7,3,166.0,Тверской,Дмитровский переулок,7,780000
Александр Буряков,realtor,https://www.cian.ru/rent/flat/307437516/,1,5,3,150.0,Мещанский,Трубная площадь,2,650000
Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/305506514/,4,6,3,162.0,Тверской,Дмитровский переулок,7,779000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300035660/,4,6,3,160.0,Тверской,Дмитровский переулок,7,788000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/297254735/,4,6,3,166.0,Тверской,Дмитровский переулок,7,788000
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/rent/flat/297215220/,4,7,3,160.0,Тверской,Дмитровский переулок,7,788000
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/297122819/,4,6,3,166.0,Тверской,Дмитровский переулок,7,780000
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307569351/,3,7,3,150.0,Замоскворечье,Садовническая ,80,500000
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307649499/,4,8,3,109.0,Басманный,Потаповский переулок,10,300000
ID 4999,realtor,https://www.cian.ru/rent/flat/307727057/,17,30,1,33.0,Рязанский,Окская ,7А,80000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307723016/,1,5,1,32.0,Кузьминки,Волгоградский проспект,131К3,45000
НПЮ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307707005/,2,9,1,33.0,Выхино-Жулебино,Ташкентская ,22К1,40000
Валерий Моисеев,realtor,https://www.cian.ru/rent/flat/307698721/,17,23,1,42.0,Рязанский, Васильцовский Стан,3К1,60000
Андрей Олейник,realtor,https://www.cian.ru/rent/flat/307676418/,17,23,1,32.0,Текстильщики,1-й Грайвороновский проезд,13к4,85000
МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307653819/,3,5,1,30.0,Кузьминки,Волгоградский проспект,147/5К1,40000
ID 287994,unknown,https://www.cian.ru/rent/flat/307638648/,3,9,1,32.2,Рязанский, Федора Полетаева,19К2,50000
Екатерина Вартанова,realtor,https://www.cian.ru/rent/flat/307628209/,6,9,1,32.0,Кузьминки, Федора Полетаева,32К2,50000
ID 10877561,realtor,https://www.cian.ru/rent/flat/307626498/,21,23,1,42.0,Рязанский, Васильцовский Стан,10к1,50000
ID 32403,real_estate_agent,https://www.cian.ru/rent/flat/307625208/,5,9,1,36.0,Рязанский, Федора Полетаева,21К2,45000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613185/,9,25,1,43.0,Рязанский, Васильцовский Стан,7к1,65000
Александр Игнатьев,realtor,https://www.cian.ru/rent/flat/307609364/,8,14,1,38.9,Текстильщики,Юго-Восточный ао,к5,60000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307607889/,9,27,1,45.0,Рязанский, Васильцовский Стан,7к1,60000
GIGGRAD,real_estate_agent,https://www.cian.ru/rent/flat/307562181/,4,9,1,36.0,Текстильщики,2-й Саратовский проезд,5,60000
ID 20267,realtor,https://www.cian.ru/rent/flat/306908456/,9,23,1,42.0,Рязанский,Волжский бульвар,11,70000
ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306231591/,20,23,1,33.0,Текстильщики,1-й Грайвороновский проезд,13к4,78200
ID 90177180,homeowner,https://www.cian.ru/rent/flat/304920291/,8,23,1,32.0,Текстильщики,1-й Грайвороновский проезд,13к4,75000
ID 62119113,realtor,https://www.cian.ru/rent/flat/302456881/,6,9,1,41.0,Текстильщики, Юных Ленинцев,18К2,56000
Татьяна Петрова,realtor,https://www.cian.ru/rent/flat/307726099/,1,9,2,38.0,Кузьминки,Зеленодольская ,15К1,50000
Константин Зотов,realtor,https://www.cian.ru/rent/flat/307723862/,2,5,2,42.0,Кузьминки, Федора Полетаева,8К3,60000
Жанна Беляева,realtor,https://www.cian.ru/rent/flat/307614433/,8,9,2,55.0,Рязанский, Федора Полетаева,17К2,55000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307610575/,15,23,2,55.0,Рязанский, Васильцовский Стан,11,75000
ID 49159339,unknown,https://www.cian.ru/rent/flat/307603295/,12,17,2,60.0,Рязанский,Мещерский переулок,6К2,80000
Вадим Соломин,realtor,https://www.cian.ru/rent/flat/307505532/,2,9,2,38.0,Кузьминки, Федора Полетаева,38,65000
Дмитрий Вологжанин,realtor,https://www.cian.ru/rent/flat/307439143/,15,19,2,55.0,Рязанский, Васильцовский Стан,11,75000
ID 12614,realtor,https://www.cian.ru/rent/flat/307385331/,9,9,2,40.0,Кузьминки, Федора Полетаева,10,55000
Самолет плюс - Москва,real_estate_agent,https://www.cian.ru/rent/flat/306841929/,7,13,2,40.0,Рязанский,Окская ,7А,90000
Гранд Сервис Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306565217/,17,25,2,75.0,Рязанский, Васильцовский Стан,9,100000
Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305642555/,5,24,2,90.0,Кузьминки,Зеленодольская ,31к1,100000
Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/305551478/,5,5,2,45.0,Кузьминки,Волгоградский проспект,154/34,60000
ID 54674551,homeowner,https://www.cian.ru/rent/flat/305386387/,5,24,2,90.0,Кузьминки,Зеленодольская ,31к1,100000
ID 112933948,homeowner,https://www.cian.ru/rent/flat/298117634/,4,13,2,41.2,Рязанский,Окская ,7А,89500
Фелисия Китлали,realtor,https://www.cian.ru/rent/flat/292077621/,12,30,2,47.0,Рязанский,Окская ,7А,100000
ID 57592909,homeowner,https://www.cian.ru/rent/flat/277945208/,6,23,2,63.0,Рязанский, Васильцовский Стан,10к1,120000
Дмитрий Неводов,realtor,https://www.cian.ru/rent/flat/212733750/,1,5,2,45.0,Выхино-Жулебино,Ташкентская ,24К2,47000
Иннокентий Осипов,realtor,https://www.cian.ru/rent/flat/153665971/,4,9,2,65.0,Кузьминки,Волжский бульвар,29К2,65000
Мария Майорова,realtor,https://www.cian.ru/rent/flat/307234748/,5,12,1,35.0,Текстильщики,Грайвороновская ,16К1,50000
ID 253390,realtor,https://www.cian.ru/rent/flat/307308213/,1,9,2,53.0,Текстильщики,Саратовская ,5К2,70000
Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307430191/,8,14,2,60.0,Выхино-Жулебино, Генерала Кузнецова,23,75000
Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307299024/,9,17,2,60.0,Некрасовка, Маршала Еременко,5к4,67900
ID 77807571,unknown,https://www.cian.ru/rent/flat/277108142/,8,18,1,37.0,Текстильщики, Чистова,16к3,65000
ID 59666584,homeowner,https://www.cian.ru/rent/flat/307110816/,3,5,2,41.6,Перово,Мартеновская ,6К2,70000
ID 444023,homeowner,https://www.cian.ru/rent/flat/307498879/,4,16,1,41.0,Текстильщики,Грайвороновская ,17,60000
Валерий Моисеев,realtor,https://www.cian.ru/rent/flat/307737988/,25,25,3,70.0,Рязанский, Васильцовский Стан,5К1,90000
ID 6963922,realtor,https://www.cian.ru/rent/flat/307455945/,10,17,3,100.0,Кузьминки,Волгоградский проспект,145К2,120000
Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307304786/,10,17,3,100.0,Кузьминки,Волгоградский проспект,145К2,125000
Динара Галлямова,realtor,https://www.cian.ru/rent/flat/307065634/,11,23,3,74.7,Рязанский, Васильцовский Стан,11,95000
NSK НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/307042156/,10,17,3,100.0,Кузьминки,Волгоградский проспект,145К2,130000
